username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Sarah Kaye Ren,1284140441785577472,"Brooklyn, NY",2023-03-08 03:13:56,@Big_Hoss98 @scottmerkin @TalkinBaseball_ The only democracy in the Middle East and the only Middle Eastern nation… https://t.co/OVPmUENuSy,0,Twitter for iPhone,
David Crary,80917722,New York City,2023-03-08 03:10:56,Oklahoma GOP legislators censure nonbinary Democratic colleague after state troopers say the lawmaker blocked them… https://t.co/VclXVUmpo3,0,Twitter Web App,
Patrick J. Hamilton,577521294,NYC,2023-03-08 02:55:41,"This is the state of hate  @GovRonDeSantis has created. #florida #stateofhate

https://t.co/VYvgT4ZQxS",0,Twitter for iPhone,
John Ore ☮️🏳️‍🌈🇵🇷🇱🇻,33923271,"Brooklyn, NY",2023-03-08 02:51:03,NHL teams continue to fold to the anti-LGBTQ+ agenda like they are holding 7-3 off suit. Disgraceful.  https://t.co/4YQPcEj3vt,0,Twitter for iPhone,
CONSEQUENCE,15553222,New York,2023-03-08 02:48:23,An all-star collection of Tennessee musicians are coming together to protest the state's recent legislation banning… https://t.co/RQixwUpbjI,5,Twitter Web App,
elisa,1457028590512529419,New York,2023-03-08 02:48:10,👇👇👇 List of LGBTQ resources for people living in Florida 👇👇👇,0,Twitter Web App,
Radio Future,1537807499965112320,"New York City, New York",2023-03-08 02:43:15,"Hayley Williams, Jason Isbell, Sheryl Crow, More to Play LGBTQ+ Benefit Concert in Tennessee

Listen to Radio Futur… https://t.co/TGebISM6W2",0,IFTTT,
LittleThings,3131581863,"New York, NY",2023-03-08 02:41:48,LGBTQ Kid Gets Back At Homophobic Mom By Sharing Her Secret Meatloaf Recipe With The World https://t.co/5kkTSKDtKa,1,SocialFlow,
Space Manley,1036396008538861568,"Manhattan, NY",2023-03-08 02:32:35,@DarthCaniac37 @CaniacChic @rb_caniac I can't accept a status quo wherein no one explains to these players in a cal… https://t.co/BPbENNIwPq,0,Twitter Web App,
Space Manley,1036396008538861568,"Manhattan, NY",2023-03-08 02:31:06,@DarthCaniac37 @CaniacChic @rb_caniac But that relies on a framing wherein there has to be an agreement about the r… https://t.co/Dvy032BMjz,0,Twitter Web App,
Onlysuperfreak,1228581991962042368,"New York, NY",2023-03-08 02:23:37,Transitioning from #NYPD #cop to working in #IT. #dadbod #Police #Veteran #usmc #coding #pcgaming #HogwartsLegacy… https://t.co/1rfsn6aoW5,0,Twitter Web App,
